Признак,Корреляция
Age,0.34076816340758503
Geography,0.1868487691596918
Balance,0.129742860484013
EstimatedSalary,0.01882680567081293
Tenure,-0.01956484448407664
HasCrCard,-0.022141333072306767
CreditScore,-0.0273826000616512
Gender,-0.1464415589539285
IsActiveMember,-0.2102370257921396
NumOfProducts,-0.2145542315849037
